site_area,water_consumption,recycling_rate,utilisation_rate,air_quality_index,issue_resolution_time,resident_count,electricity_cost,structure_type_Industrial,structure_type_Mixed-use,structure_type_Residential,resident_group_low,resident_group_medium,resident_group_none,water_consumption_log
1360,2519.0,69,52,188,1,72,1420.0,False,True,False,False,True,False,7.832014180505469
4272,2324.0,50,76,165,65,261,3298.0,False,True,False,False,False,False,7.751475318021456
3592,2701.0,20,94,198,39,117,3115.0,False,True,False,False,True,False,7.9017475185201445
966,1000.0,13,60,74,3,35,1575.0,False,False,True,True,False,False,6.90875477931522
4926,5990.0,23,65,32,57,185,4301.0,False,False,True,False,False,False,8.698013622083925
3944,6960.0,22,43,194,59,0,3800.0,False,False,False,False,False,True,8.848078421168667
3671,2803.0,24,66,149,18,139,3661.0,False,False,True,False,True,False,7.938802248154481
3419,5601.0,17,61,140,21,38,2538.0,False,True,False,True,False,False,8.630878955820053
630,1000.0,20,82,92,56,41,1390.0,False,False,True,True,False,False,6.90875477931522
2185,2170.0,32,57,133,52,117,2599.0,False,False,True,False,True,False,7.682943169878292
1269,1194.0,16,94,191,8,124,2626.0,False,False,True,False,True,False,7.085901464365611
2891,5267.0,78,76,105,25,0,3714.0,True,False,False,False,False,True,8.569406062863171
2933,4817.0,41,100,181,32,260,4140.0,False,False,True,False,False,False,8.480114183174816
1684,2604.0,53,61,42,70,0,2100.0,False,False,False,False,False,True,7.865187954187467
3885,2164.0,12,53,182,40,0,3419.0,False,False,False,False,False,True,7.68017564043659
4617,8168.0,53,43,27,29,175,4479.0,False,False,True,False,False,False,9.00810178134187
3404,2380.0,78,76,57,69,0,3165.0,False,False,False,False,False,True,7.7752758464868625
974,1000.0,60,30,14,35,30,872.0,False,True,False,True,False,False,6.90875477931522
1582,2448.0,70,48,151,33,0,1803.0,False,False,False,False,False,True,7.803435056952168
3058,2994.0,60,87,106,46,292,2196.0,False,True,False,False,False,False,8.00469951054955
2547,3903.0,42,36,113,72,253,3084.0,False,False,True,False,False,False,8.269756947532983
3247,5123.0,29,93,89,31,225,3742.0,False,False,True,False,False,False,8.541690663016626
1475,1000.0,39,47,189,68,0,2271.0,True,False,False,False,False,True,6.90875477931522
2306,3978.0,53,92,192,40,43,2271.0,False,False,True,True,False,False,8.288785810426928
689,2003.0,38,97,25,69,0,1853.0,False,False,False,False,False,True,7.602900462204755
3234,2690.0,30,79,109,42,288,2414.0,False,True,False,False,False,False,7.897668150726906
3505,4518.0,62,97,94,44,253,4479.0,False,False,True,False,False,False,8.41604600941128
2399,2364.0,20,45,188,17,87,1596.0,False,True,False,False,True,False,7.768533300926033
1767,2721.0,19,43,128,20,78,2009.0,False,False,True,False,True,False,7.909122183211411
2028,1138.0,44,91,81,53,126,2900.0,False,False,True,False,True,False,7.037905963447182
3702,3622.0,35,36,45,44,82,2992.0,False,False,True,False,True,False,8.195057690895077
4056,2032.0,53,85,0,17,310,2716.0,False,True,False,False,False,False,7.617267813628347
4390,8226.0,13,43,50,27,328,4968.0,False,False,True,False,False,False,9.01517670716893
1146,2083.0,83,71,163,23,110,1541.0,False,True,False,False,True,False,7.642044402873258
3388,4427.0,66,99,68,58,0,4029.0,True,False,False,False,False,True,8.395703293828527
2935,2801.0,48,91,68,69,0,3251.0,False,False,False,False,False,True,7.938088726896952
1100,1743.0,89,72,127,56,0,2230.0,False,False,False,False,False,True,7.463936604468925
2863,2985.0,50,86,65,45,0,3309.0,False,False,False,False,False,True,8.001689978099135
2561,2218.0,76,60,98,29,17,2008.0,False,False,True,True,False,False,7.704811922932594
741,1000.0,45,80,29,14,0,1475.0,False,False,False,False,False,True,6.90875477931522
2541,2540.0,13,96,135,8,0,2858.0,False,False,False,False,False,True,7.840312983320164
3324,3029.0,83,30,1,46,0,3473.0,True,False,False,False,False,True,8.016317898503415
3112,3911.0,22,73,99,27,0,3699.0,True,False,False,False,False,True,8.271804031154709
1863,3559.0,79,79,102,70,144,2253.0,False,True,False,False,True,False,8.177515823846075
1978,2233.0,16,89,24,7,39,2185.0,False,True,False,True,False,False,7.711548979629146
3056,1049.0,37,32,146,26,0,2728.0,False,False,False,False,False,True,6.956545443151569
1275,1287.0,68,83,70,42,0,2252.0,False,False,False,False,False,True,7.160845906664299
4514,9306.0,46,31,103,30,21,3299.0,False,True,False,True,False,False,9.13852208418571
534,1000.0,24,58,13,6,29,1241.0,False,False,True,True,False,False,6.90875477931522
3652,5709.0,39,45,131,67,0,4268.0,True,False,False,False,False,True,8.649974302650056
2455,5749.0,83,88,173,54,0,3140.0,False,False,False,False,False,True,8.656955133791396
2085,2607.0,21,40,32,35,0,2148.0,False,False,False,False,False,True,7.866338923046544
4443,8658.0,90,53,36,35,201,3047.0,False,True,False,False,False,False,9.066354521447801
3573,3863.0,39,61,106,5,0,3858.0,True,False,False,False,False,True,8.259458195332408
1521,1730.0,10,83,29,6,129,2425.0,False,False,True,False,True,False,7.456454555176209
3961,4512.0,45,85,154,23,192,3256.0,False,True,False,False,False,False,8.414717399827001
3113,3321.0,30,100,119,59,0,3496.0,False,False,False,False,False,True,8.10832229017324
4343,6055.0,41,72,12,51,277,4550.0,False,False,True,False,False,False,8.708804795117285
2000,2113.0,72,82,198,62,93,2049.0,False,True,False,False,True,False,7.656337166430183
661,1000.0,22,30,81,32,0,885.0,False,False,False,False,False,True,6.90875477931522
4797,4340.0,46,90,37,1,0,4504.0,False,False,False,False,False,True,8.375860015299594
2481,1000.0,53,63,179,49,31,2166.0,False,False,True,True,False,False,6.90875477931522
1495,3160.0,30,90,72,28,0,2400.0,False,False,False,False,False,True,8.058643712215618
3842,7838.0,27,90,86,71,0,4117.0,False,False,False,False,False,True,8.966866554188723
4298,7984.0,55,37,94,37,0,3715.0,False,False,False,False,False,True,8.985320060649112
1775,2097.0,56,83,65,29,160,2641.0,False,False,True,False,False,False,7.6487397889562425
1516,2321.0,35,82,167,19,0,2425.0,True,False,False,False,False,True,7.7501841622578365
837,1106.0,14,49,165,19,0,1640.0,False,False,False,False,False,True,7.009408932708637
1378,1535.0,14,75,40,51,57,1755.0,False,True,False,False,True,False,7.336936913707618
1576,1000.0,40,60,132,15,0,1807.0,False,False,False,False,False,True,6.90875477931522
4493,3928.0,37,55,191,24,310,4933.0,False,False,True,False,False,False,8.27614021955846
879,1000.0,86,92,55,61,0,1608.0,False,False,False,False,False,True,6.90875477931522
992,1441.0,84,49,48,53,0,1296.0,False,False,False,False,False,True,7.273786317844895
2562,4953.0,74,51,186,72,0,2573.0,False,False,False,False,False,True,8.507950610049305
4384,5398.0,22,86,95,59,0,4154.0,False,False,False,False,False,True,8.593969030218288
564,1000.0,27,86,166,7,0,1417.0,False,False,False,False,False,True,6.90875477931522
3068,1426.0,33,55,54,68,35,2673.0,False,False,True,True,False,False,7.2633296174768365
2527,2490.0,38,46,191,34,0,2303.0,False,False,False,False,False,True,7.820439515262181
3195,5637.0,37,56,2,7,118,2959.0,False,False,True,False,True,False,8.637284671674058
1995,1846.0,54,96,135,54,120,2731.0,False,False,True,False,True,False,7.52131798019924
891,1863.0,20,85,72,67,0,2385.0,True,False,False,False,False,True,7.530479995245536
4974,3787.0,60,53,15,12,0,4086.0,False,False,False,False,False,True,8.239593454305968
4061,2336.0,68,54,25,58,0,3711.0,False,False,False,False,False,True,7.756623334538858
2778,2552.0,22,39,159,52,0,2767.0,False,False,False,False,False,True,7.845024417241484
3599,4654.0,56,65,81,56,0,4051.0,True,False,False,False,False,True,8.445697189711167
700,1688.0,52,74,7,3,0,1213.0,False,False,False,False,False,True,7.4318919168078
3604,5497.0,33,46,102,13,116,2597.0,False,True,False,False,True,False,8.612139668725192
2954,1937.0,57,87,116,63,293,3948.0,False,False,True,False,False,False,7.569411792450712
4145,6611.0,72,52,59,5,0,4215.0,True,False,False,False,False,True,8.796641458940915
1304,1973.0,26,37,11,25,64,1447.0,False,True,False,False,True,False,7.587817219993427
3231,1572.0,78,79,186,72,241,2287.0,False,True,False,False,False,False,7.360739903058278
3273,3711.0,63,45,186,52,82,2863.0,False,False,True,False,True,False,8.21932609390609
2070,1768.0,23,72,161,5,206,3214.0,False,False,True,False,False,False,7.478169694159785
3190,4867.0,24,75,120,59,11,2636.0,False,False,True,True,False,False,8.490438454107418
4340,7475.0,82,78,157,25,115,3951.0,False,False,True,False,True,False,8.919453168575453
1528,3140.0,87,44,43,14,37,1504.0,False,True,False,True,False,False,8.052296499538647
1002,1000.0,19,78,165,52,86,1320.0,False,False,True,False,True,False,6.90875477931522
4993,5371.0,31,50,152,25,472,5710.0,False,False,True,False,False,False,8.588955557643128
1370,1122.0,22,35,151,72,62,1284.0,False,False,True,False,True,False,7.023758954738443
4988,4742.0,90,84,96,56,151,4589.0,False,False,True,False,False,False,8.464425125877582
706,1418.0,74,44,188,37,52,1059.0,False,False,True,False,True,False,7.257707677160043
1984,1000.0,23,40,136,70,183,1984.0,False,True,False,False,False,False,6.90875477931522
1363,2417.0,53,68,83,6,0,1564.0,False,False,False,False,False,True,7.790696031174738
3290,4286.0,48,80,47,25,240,3975.0,False,False,True,False,False,False,8.363342466597977
1063,1573.0,44,66,51,20,0,1329.0,False,False,False,False,False,True,7.3613754289773485
4691,4206.0,74,78,197,23,0,4297.0,False,False,False,False,False,True,8.344505083590521
