site_area,water_consumption,recycling_rate,utilisation_rate,air_quality_index,issue_resolution_time,resident_count,structure_type_Industrial,structure_type_Mixed-use,structure_type_Residential,resident_group_low,resident_group_medium,resident_group_none,water_consumption_log
1013,1496.0,44,45,32,55,91,False,False,True,False,True,False,7.311218384419629
2785,4109.0,19,42,106,60,172,False,True,False,False,False,False,8.32117830749028
694,1161.0,17,31,125,15,0,False,False,False,False,False,True,7.057897937411856
3395,4923.0,87,93,178,60,99,False,False,True,False,True,False,8.501876487304344
3618,3561.0,22,49,184,65,290,False,True,False,False,False,False,8.178077463849608
3652,5709.0,39,45,131,67,0,True,False,False,False,False,True,8.649974302650056
981,1947.0,54,67,125,6,73,False,False,True,False,True,False,7.57455848420248
4976,10483.0,72,53,79,27,0,False,False,False,False,False,True,9.257605564443296
2646,1527.0,71,55,35,23,0,False,False,False,False,False,True,7.331714969726466
4209,7127.0,89,60,141,10,303,False,False,True,False,False,False,8.871785969150645
4274,3282.0,76,46,90,18,0,False,False,False,False,False,True,8.096512917501594
4700,2255.0,25,99,199,6,383,False,True,False,False,False,False,7.721348612617949
4487,6184.0,90,88,82,62,105,False,False,True,False,True,False,8.729882284826589
645,1000.0,37,72,5,3,31,False,True,False,True,False,False,6.90875477931522
3016,4735.0,24,36,102,13,0,False,False,False,False,False,True,8.462948176563842
1481,3584.0,28,41,12,39,0,False,False,False,False,False,True,8.184513753033722
2206,2523.0,70,96,193,35,61,False,True,False,False,True,False,7.833600223661103
3158,1975.0,71,49,17,1,212,False,False,True,False,False,False,7.588829878307813
3971,4520.0,70,37,134,63,203,False,False,True,False,False,False,8.416488487294606
3287,2960.0,16,96,72,49,266,False,True,False,False,False,False,7.993282328101591
3073,2344.0,63,32,190,10,0,True,False,False,False,False,True,7.76004068088038
3330,2818.0,37,88,5,42,0,False,False,False,False,False,True,7.944137491114112
1951,2802.0,70,77,145,59,0,False,False,False,False,False,True,7.938445551164788
1282,1709.0,48,73,5,12,114,False,True,False,False,True,False,7.444248649496705
4877,6796.0,33,74,178,34,126,False,False,True,False,True,False,8.824236617346639
3283,6457.0,20,98,194,38,311,False,True,False,False,False,False,8.77307495131822
4675,7608.0,27,74,160,4,231,False,False,True,False,False,False,8.937087036176523
2874,2171.0,39,39,169,40,14,False,True,False,True,False,False,7.683403681053826
4683,8813.0,62,63,154,36,0,False,False,False,False,False,True,9.084096645401932
2863,2658.0,44,65,180,45,111,False,False,True,False,True,False,7.88570539124302
1103,1000.0,42,82,75,19,74,False,False,True,False,True,False,6.90875477931522
2703,1000.0,37,67,196,10,34,False,False,True,True,False,False,6.90875477931522
2779,3244.0,26,92,64,61,0,False,False,False,False,False,True,8.08487062913819
1359,2212.0,31,53,124,19,0,True,False,False,False,False,True,7.70210434005105
4395,7158.0,83,98,120,33,366,False,False,True,False,False,False,8.876125585396185
4176,3508.0,67,38,67,50,0,False,False,False,False,False,True,8.163086375583216
4074,7685.0,46,91,24,1,125,False,True,False,False,True,False,8.94715577112479
1796,3958.0,79,74,102,50,0,False,False,False,False,False,True,8.28374674710613
4990,10513.0,11,50,140,40,0,True,False,False,False,False,True,9.260462981379394
2420,4157.0,44,44,67,3,125,False,False,True,False,True,False,8.332789468417959
3381,4153.0,31,54,199,68,0,True,False,False,False,False,True,8.331827004436057
3154,1677.0,41,73,91,47,0,False,False,False,False,False,True,7.425357887027151
1659,3090.0,51,59,192,45,44,False,False,True,True,False,False,8.036249942132116
3696,6810.0,21,30,33,44,199,False,False,True,False,False,False,8.826294231241318
4963,5494.0,52,34,149,58,182,False,False,True,False,False,False,8.611593866837723
4886,6660.0,15,51,117,50,67,False,False,True,False,True,False,8.804024902413179
4332,6756.0,34,46,171,26,0,False,False,False,False,False,True,8.818334283552174
2872,5145.0,77,71,50,17,261,False,True,False,False,False,False,8.545974992841689
4860,9386.0,21,76,73,11,0,False,False,False,False,False,True,9.147081032336992
4188,2648.0,37,74,85,23,158,False,False,True,False,False,False,7.88193748927207
680,1000.0,16,96,30,57,19,False,True,False,True,False,False,6.90875477931522
